UNITID,school_name.x,coach_comp_third,support_comp_third,coach_comp,guarantees,total_ops,aid,support_comp,severance,recruiting,team_travel,equip,game_expenses,marketing,camps,spirits,facilities,overhead,indirect_institutional,medical,membership,meals,otherops,bowl_expenses,prof_def,bowl_coachcomp,total_expenditure,discounts_to_tuition,gifts,research_expenditure,graduation_rate
230764,University of Utah,160000,0,20444492,1222354.4,94540494.4,12074745.6,16338640.4,1657934.6,1533754.2,5643426.8,4083194.8,2372607.2,1762075.8,227523,388735.4,7966575,1348370.6,1923211.6,1348571,156917.8,1158419.8,10539353,1402857.4,3301042.5,786734,182752353.5,98754500,134044250,383304500,30877.25
232982,Old Dominion University,0,0,7801523.4,516702.6,46825299.2,9763206.2,6526271.4,125218.2,614680.2,3105834.4,2082210,1385743.4,659830.2,877.8,75093.8,5942010.2,4651012,0,414335.6,406046,58851.2,2609850,63214.8,959857,22787.8,91689461.75,39709003.75,15618797.75,15534401.5,26420.5
233921,Virginia Polytechnic Institute and State University,5000,0,19755557.6,1443703.2,97581794.8,14989629.8,16303124.2,2464079.2,1430211.2,4199263,2387765.4,4120839.2,1245383.8,5236.8,376175.4,5800527.4,12274638.2,1368659.8,1450581.6,76695.6,2085882.8,4295057.6,1250416.2,3529881.5,253366.8,188844350.5,122705048.75,69770823.5,386407932,24579
234076,University of Virginia-Main Campus,0,0,25315024.2,1540370,116617012.2,20899058.6,19004454.6,637278.2,1504690.6,6565375.6,2129430,4333872.2,390376.6,97944.4,111940.2,11711509.2,10809227.4,187114.8,1837933.2,2062571.8,1413728.4,5183304.2,670543.8,5053434.333333333,211264.2,217207505.25,141638938.5,191386433.25,493675112.5,37902.5
236939,Washington State University,0,0,13213185.6,1527623.4,75199990,11183141.8,14174743.8,1478972,1093133.4,3976286.6,1885912.4,1945637.2,1569492.6,192569.6,152110.8,9684154.8,2116686.4,330120.4,836009.4,2341497,1078745.4,4852080.2,1258460.4,-3660243,309426.8,143989649.5,150024501.75,40848325.5,231830446.75,42167
236948,University of Washington-Seattle Campus,0,0,22832415.6,1870933.6,124407331.4,14856335.8,22026629.4,3958106,1558876,6605995.8,5854889.6,7494238.8,2897795,86723.8,653357.6,11425966.6,6974603.2,0,1562725.6,144737.6,2371721.6,9842218.2,1153186.6,5286269.333333333,235875,240253569,185984944.75,191678546.75,895316410,26781.5
237525,Marshall University,0,0,5859925.2,769508,33445092,7558921.4,4836856.6,175652.6,612748.6,3369999.4,1131150.8,1054166.2,760997,100812.2,141632,984960.4,1218141.6,1030906.8,1211317.4,382097.8,39554.2,1468638.2,578269.8,-590111.5,158835.8,63642181.25,41723096.75,1327065.5,17615458.25,42574.75
238032,West Virginia University,0,0,17957881.2,1243412.2,88429556.6,10853188.4,15612584.8,167859,1393817.2,6414188.4,2239482.4,4015041,707507.6,797935.4,137320,8972850,9928461.8,0,1145740.4,92304.6,2944865,2738594,889023.2,7900274.75,177500,178408912,85226433.75,80330308.5,138758797,11167.25
240444,University of Wisconsin-Madison,0,0,22539806.6,2578448.8,145702247,17626435.8,31522835.4,262496.2,1159099.2,8108484.4,2976674.8,3166093.8,3044107.4,856052.4,164709.8,10719368.6,24470673,2784982.6,2997257.8,105691.4,2315101.6,5901496.4,1911029.8,2500236.6666666665,491401.2,291653755,140091949.5,341455962.75,1084820667.75,9824.5
240727,University of Wyoming,143840,35476,8856093.8,1000813.6,44696220,7254673.6,9021540.6,44793.6,729335.8,2992591,1086658,1135219,5144761.4,0,82087.6,328630.6,1399984.4,524776.8,1096017,517428,1175113.4,1538959.8,452879.2,2461724.3333333335,134546.8,89236122.5,40864475.75,29469554,97853345.25,43710.25
243780,Purdue University-Main Campus,158824.8,60730.2,19548330.2,1107035.6,94304803.8,11625801.8,18615991,878884.2,1421359,5068887.4,1969909.2,2965783.2,1980867.4,0,224210.2,10334245.2,8312375.2,0,1236883.6,133995,2684073.2,4821071.8,881170.2,10514721.25,274375.4,194235420.25,92487747.25,95435151.5,328214733.5,24560
