my_id,school_name,1819_coach_comp_third,1819_support_comp_third,1819_coach_comp,1819_guarantees,1819_total_ops,1819_aid,1819_support_comp,1718_severance,1718_recruiting,1718_teamtravel,1718_equip,1718_game_expenses,1718_marketing,1718_camps,1718_spirit,1718_facilities_rentals,1718_overhead,1718_indirect_institutional,1718_medical,1718_memberships,1718_meals,1718_otherops,1718_bowl_expense,1718_prof_def,1718_bowl_coachcomp
28,Florida State,$0 ,$0 ,"$28,887,189 ","$2,622,781 ","$158,375,459 ","$11,427,894 ","$20,320,833 ","$607,169 ","$2,557,066 ","$10,487,196 ","$4,091,009 ","$8,590,993 ","$2,977,324 ",$0 ,"$565,514 ","$7,056,541 ","$13,623,183 ",$0 ,"$2,198,534 ","$132,220 ","$1,491,223 ","$39,659,824 ","$812,174 ","$9,802,391 ","$266,792 "
29,Fresno State,"$40,075 ","$5,500 ","$11,817,716 ","$973,675 ","$51,050,676 ","$7,811,164 ","$8,378,282 ","$1,255,981 ","$647,539 ","$3,744,047 ","$1,705,246 ","$2,496,054 ","$1,154,354 ","$290,492 ","$323,428 ","$302,088 ","$1,423,572 ","$1,340,927 ","$1,782,138 ","$594,048 ","$743,405 ","$2,690,287 ","$1,137,436 ","($413,926)","$393,222 "
30,Georgia,$0 ,$0 ,"$25,080,974 ","$2,005,150 ","$133,941,585 ","$11,953,833 ","$23,304,390 ","$1,592,853 ","$3,990,422 ","$6,389,212 ","$2,757,291 ","$7,282,059 ","$2,679,730 ","$532,007 ","$925,059 ","$9,911,086 ","$13,119,787 ",$0 ,"$3,482,014 ","$163,024 ","$2,377,995 ","$9,568,772 ","$4,648,154 ","$42,758,308 ","$2,177,773 "
31,Georgia Southern,"$28,937 ","$551,590 ","$5,624,860 ","$345,875 ","$31,181,439 ","$7,026,031 ","$5,556,886 ",$0 ,"$390,582 ","$2,270,865 ","$610,987 ","$650,126 ","$1,108,792 ",$0 ,"$38,825 ","$1,797,322 ","$1,376,967 ","$1,094,403 ","$359,629 ","$98,805 ","$190,550 ","$2,059,407 ",$0 ,"$514,702 ",$0 
32,Georgia State,$0 ,$0 ,"$6,075,516 ","$358,713 ","$32,629,661 ","$7,459,242 ","$4,631,620 ",$0 ,"$421,635 ","$2,066,746 ","$1,188,312 ","$938,783 ","$519,195 ",$0 ,"$140,832 ","$4,227,539 ","$856,303 ","$341,299 ","$312,167 ","$105,952 ","$339,231 ","$2,358,768 ","$161,458 ","$6,916,572 ","$126,350 "
33,Georgia Tech,$0 ,$0 ,"$14,132,322 ","$4,291,454 ","$88,517,077 ","$11,389,113 ","$13,296,899 ","$3,479,982 ","$1,313,034 ","$4,307,085 ","$1,622,179 ","$3,149,453 ","$2,448,520 ",$0 ,"$478,909 ","$13,433,680 ","$12,498,496 ",$0 ,"$993,461 ","$321,370 ","$338,427 ","$1,022,693 ",$0 ,"$3,129,991 ",$0 
34,Houston,$0 ,$0 ,"$10,734,294 ","$931,650 ","$57,106,913 ","$7,888,368 ","$8,957,220 ",$0 ,"$698,178 ","$3,457,495 ","$1,206,747 ","$2,098,525 ","$1,101,649 ",$0 ,$0 ,"$7,637,984 ","$3,539,106 ",$0 ,"$1,195,774 ","$31,024 ","$1,680,301 ","$5,226,276 ","$641,572 ","($1,964,496)","$80,750 "
35,Illinois,$0 ,$0 ,"$19,975,276 ","$2,695,982 ","$108,696,540 ","$12,709,040 ","$21,315,905 ","$838,435 ","$2,069,031 ","$5,630,705 ","$2,813,535 ","$2,416,549 ","$4,730,896 ","$873,514 ","$372,458 ","$17,032,030 ","$7,763,737 ",$0 ,"$997,889 ","$181,290 ","$1,698,150 ","$4,582,118 ",$0 ,"$6,435,646 ",$0 
36,Indiana,$0 ,$0 ,"$18,865,549 ","$4,861,956 ","$116,277,652 ","$16,121,115 ","$20,747,617 ","$1,868,225 ","$2,125,054 ","$5,755,289 ","$2,341,126 ","$4,388,752 ","$2,796,069 ",$0 ,"$403,966 ","$13,784,529 ","$11,094,842 ","$3,073,481 ","$1,840,505 ","$129,381 ","$1,514,077 ","$4,566,119 ",$0 ,"$6,655,484 ",$0 
37,Iowa,"$450,000 ",$0 ,"$22,548,235 ","$2,698,481 ","$130,117,820 ","$13,157,641 ","$20,641,524 ",$0 ,"$1,712,668 ","$7,965,521 ","$2,784,903 ","$4,522,625 ","$4,624,870 ","$405,786 ","$425,731 ","$20,917,384 ","$10,955,270 ",$0 ,"$1,595,984 ","$227,671 ","$3,517,788 ","$8,671,532 ","$1,695,838 ","$6,975,207 ","$598,368 "
38,Iowa State,$0 ,$0 ,"$14,265,405 ","$1,045,047 ","$88,670,048 ","$9,101,930 ","$12,659,831 ",$0 ,"$2,038,311 ","$5,100,136 ","$2,786,741 ","$2,791,166 ","$2,469,359 ",$0 ,"$550,202 ","$11,441,229 ","$10,665,410 ",$0 ,"$979,123 ","$3,443,773 ","$2,379,488 ","$4,497,797 ","$1,496,047 ","$83,616 ","$959,053 "
39,Kansas,$0 ,$0 ,"$17,736,274 ","$1,627,676 ","$104,108,072 ","$11,991,461 ","$20,738,090 ","$2,726,309 ","$2,326,971 ","$7,327,330 ","$5,151,599 ","$4,726,017 ","$3,406,166 ",$0 ,"$90,993 ","$9,287,257 ","$6,821,849 ",$0 ,"$938,672 ","$339,691 ","$2,983,188 ","$5,888,529 ",$0 ,"$2,199,254 ",$0 
40,Kansas State,$0 ,$0 ,"$15,507,557 ","$2,222,374 ","$77,633,258 ","$8,983,760 ","$14,837,800 ",$0 ,"$1,391,023 ","$5,399,707 ","$1,946,309 ","$3,158,698 ","$2,582,313 ",$0 ,"$170,879 ","$5,200,298 ","$4,406,281 ",$0 ,"$1,069,619 ","$3,702,028 ","$1,767,690 ","$3,270,750 ","$1,569,646 ","$9,278,051 ","$446,526 "
41,Kent State,$0 ,$0 ,"$6,500,793 ","$573,827 ","$29,993,310 ","$6,382,900 ","$4,979,330 ",$0 ,"$582,693 ","$2,959,454 ","$1,784,560 ","$652,148 ","$1,097,724 ","$449,620 ","$136,043 ","$244,946 ","$679,776 ",$0 ,"$164,763 ","$291,682 ","$92,616 ","$2,420,435 ",$0 ,"($1,203,491)",$0 
42,Kentucky,$0 ,$0 ,"$26,672,446 ","$3,558,855 ","$128,875,582 ","$15,362,515 ","$20,858,225 ","$967,137 ","$2,718,456 ","$9,086,268 ","$3,477,512 ","$7,102,578 ","$2,631,448 ","$1,478,911 ","$970,409 ","$9,970,474 ","$13,790,820 ",$0 ,"$891,266 ","$82,945 ","$1,070,895 ","$5,885,141 ","$1,661,642 ","$5,279,032 ","$637,639 "
