"unitid","school_name","address","state","A01"
210739,"DeSales University","2755 Station Avenue, Center Valley, Pennsylvania","Pennsylvania",91951891
210775,"Alvernia University","400 Saint Bernardine St, Reading, Pennsylvania","Pennsylvania",26524784
210809,"American College of Financial Services","630 Allendale Rd #400, King of Prussia, Pennsylvania","Pennsylvania",68266687
211024,"Clarks Summit University","538 Venard Rd, Clarks Summit, Pennsylvania","Pennsylvania",6982415
211088,"Arcadia University","450 S Easton Rd, Glenside, Pennsylvania","Pennsylvania",66136000
211130,"Missio Theological Seminary","421 N. 7th Street, Suite 700, Philadelphia, Pennsylvania","Pennsylvania",3468257
211273,"Bryn Mawr College","101 N Merion Avenue, Bryn Mawr, Pennsylvania","Pennsylvania",931340000
211291,"Bucknell University","One Dent Drive, Lewisburg, Pennsylvania","Pennsylvania",936008000
211352,"Cabrini University","610 King of Prussia Rd, Radnor, Pennsylvania","Pennsylvania",42166174
211431,"Carlow University","3333 Fifth Ave, Pittsburgh, Pennsylvania","Pennsylvania",38422968
211440,"Carnegie Mellon University","5000 Forbes Avenue, Pittsburgh, Pennsylvania","Pennsylvania",2521843992
211468,"Cedar Crest College","100 College Drive, Allentown, Pennsylvania","Pennsylvania",36136164
211556,"Chatham University","Woodland Road, Office of Institutional Research, Pittsburgh, Pennsylvania","Pennsylvania",81633866
211583,"Chestnut Hill College","9601 Germantown Ave, Philadelphia, Pennsylvania","Pennsylvania",9908246
211635,"Citizens School of Nursing","539 Pittsburgh Mills Circle, Tarentum, Pennsylvania","Pennsylvania",NA
211893,"Curtis Institute of Music","1726 Locust St, Philadelphia, Pennsylvania","Pennsylvania",171072319
211981,"Delaware Valley University","700 E Butler Ave, Doylestown, Pennsylvania","Pennsylvania",35005620
212009,"Dickinson College","College and Louther Streets, Carlisle, Pennsylvania","Pennsylvania",424175230
212054,"Drexel University","3141 Chestnut St, Philadelphia, Pennsylvania","Pennsylvania",868923000
212106,"Duquesne University","Administration Bldg 600 Forbes Ave, Pittsburgh, Pennsylvania","Pennsylvania",478891000
212133,"Eastern University","1300 Eagle Rd, Saint Davids, Pennsylvania","Pennsylvania",29255529
212197,"Elizabethtown College","One Alpha Drive, Elizabethtown, Pennsylvania","Pennsylvania",88385258
212443,NA,NA,NA,2828612
212452,NA,NA,NA,0
