"unitid","school_name","address","state","A01","H03A"
155308,"Kansas Christian College","7401 Metcalf, Overland Park, Kansas","Kansas",21724,NA
155335,"Newman University","3100 McCormick Ave, Wichita, Kansas","Kansas",24871197,82761
155414,"Kansas Wesleyan University","100 E. Claflin Ave., Salina, Kansas","Kansas",14384600,1538090
155496,"Manhattan Christian College","1415 Anderson Ave, Manhattan, Kansas","Kansas",4099021,251035
155511,"McPherson College","1600 E. Euclid, McPherson, Kansas","Kansas",46446972,3615520
155520,"MidAmerica Nazarene University","2030 E College Way, Olathe, Kansas","Kansas",12841634,216173
155627,"Ottawa University-Ottawa","1001 South Cedar, Ottawa, Kansas","Kansas",20651951,2630382
155812,"University of Saint Mary","4100 S 4th St, Leavenworth, Kansas","Kansas",33963844,413061
155900,"Southwestern College","100 College Street, Winfield, Kansas","Kansas",13549290,1021184
155937,"Sterling College","125 W. Cooper, Sterling, Kansas","Kansas",17333948,26285
155973,"Tabor College","400 S Jefferson, Hillsboro, Kansas","Kansas",15783023,1849735
156189,"Alice Lloyd College","100 Purpose Rd, Pippa Passes, Kentucky","Kentucky",64730406,3953370
156213,"Asbury University","1 Macklem Dr, Wilmore, Kentucky","Kentucky",75816578,7179019
156222,"Asbury Theological Seminary","204 N Lexington Ave, Wilmore, Kentucky","Kentucky",215333262,1533417
156286,"Bellarmine University","2001 Newburg Rd, Louisville, Kentucky","Kentucky",80324864,1697013
156295,"Berea College","101 Chestnut Street, Berea, Kentucky","Kentucky",1469956182,54615146
