"UNITID","school_name","coach_comp_third_2019","support_comp_third_2019","coach_comp_2019","guarantees_2019","total_ops_2019","aid_2019","support_comp_2019","severance_2019","recruiting_2019","teamtravel_2019","equip_2019","game_expenses_2019","marketing_2019","camps_2019","spirit_2019","facilities_rentals_2019","overhead_2019","indirect_institutional_2019","medical_2019","memberships_2019","meals_2019","otherops_2019","bowl_expense_2019","prof_def_2019","bowl_coachcomp_2019","total_expendature","discounts_to_tuition","gifts","reseach_expendatures","graduation_rate"
110662,"University of California-Los Angeles",0,0,25745926,1849196,127339042,15824154,23059189,3909542,1737627,6820369,4338329,10273866,1300858,2800403,38621,3914555,9254294,0,1088519,115929,6058928,9208737,0,NA,0,254678084,215105914,366761000,926464931,17005
122409,"San Diego State University",0,0,10725114,1606836,55379174,9178163,11201033,0,675789,3686397,1466511,1664110,4536388,118275,401923,2420321,1255840,1978449,575548,507255,409176,1608485,1021745,NA,341816,110758348,130843770,17899100,6445403,22533
122755,"San Jose State University",0,0,8377244,728625,33184068,8250506,5799981,0,478402,2736166,1136848,1403856,431653,70847,74659,178021,0,1035640,621302,282380,367501,1210437,0,NA,0,66368136,110914425,5792470,947241,25383
126614,"University of Colorado Boulder",0,0,16578878,933903,98413284,11804847,15142537,8494428,1341699,3493288,1574464,3750709,1782701,532799,350441,12156756,8684879,2436499,1282127,74222,1781119,6194145,22843,NA,0,196826568,130375562,85769593,434258834,26518
126818,"Colorado State University-Fort Collins",30000,0,9464571,1150199,54289162,9443740,7037899,0,1118848,2684962,2606909,2559250,1117881,428707,63586,8574032,1548680,2012137,619798,591635,834598,2401730,0,1792217,0,110370541,117831415,47547828,259368441,40594
129020,"University of Connecticut",0,0,17986003,1182346,80814173,17715830,13582384,560288,1820461,7790506,3140488,2889689,1489283,0,37630,4153006,1200929,0,874481,197413,1135069,5058367,0,86231,0,161714577,248756072,34299721,181631401,42911
132903,"University of Central Florida",0,0,11703263,1349920,67916343,9549704,10665093,235000,891211,3914421,2369301,3229587,1526810,0,228088,5563218,4425905,0,627970,184767,782781,5741684,4620218,1205544,307402,137038230,199575020,23403728,177160186,47778
133669,"Florida Atlantic University",0,0,7423717,654391,35846033,3171333,4483398,0,862303,3024046,1542157,2259259,826727,0,80203,2593052,1673616,4537011,912614,407555,539739,854912,0,450971,0,72143037,85003931,0,70590655,26429
133951,"Florida International University",0,0,6618755,751114,35374928,5747895,5108016,8000,475752,2729019,739424,1347876,410270,0,220138,2845179,2399516,820259,591499,458397,81703,3694436,284410,1643205,43270,72393061,176130120,24588509,160690983,20646
134097,"Florida State University",0,0,24261138,3259159,150147316,11302805,19991378,1631013,2591887,9002035,3723352,4454671,3639385,0,505876,11487462,23833949,0,1988331,2670491,1374474,24429910,0,2610567,0,302905199,181230095,80703179,200161932,12499
134130,"University of Florida",775000,0,26419596,4145113,141829002,13981591,33173462,370800,2528828,8827527,3938682,7337248,3155539,1134425,1117522,10141154,14916892,0,2142556,165281,1882852,2944004,1760352,17877935,970578,301535939,214885000,184502000,760304000,35134
137351,"University of South Florida",25000,5000,10959854,1262967,53569756,6877910,7843891,1009193,972453,4577764,4060953,2376031,747745,0,315873,4871119,3009984,0,789488,34081,1047162,2274613,466153,1476013,42522,108615525,128907331,23519675,344496945,32664
139755,"Georgia Institute of Technology-Main Campus",0,0,18621234,2054432,96334831,11869928,14348679,2103608,1851809,5062827,4311835,3205166,1403180,0,723090,13683775,13674233,0,872768,251424,466851,137609,1242586,NA,449797,192669662,53813649,2561674,939843552,39165
139931,"Georgia Southern University",0,0,6249188,334100,29504873,6884411,4623931,0,416258,2296999,564601,872756,1133320,0,34986,1806728,360673,1152114,321706,68660,147011,1927586,309845,NA,0,59009746,45303451,9613153,13913828,23023
139940,"Georgia State University",0,0,6213305,361824,38399491,7923239,5324137,0,479874,2145432,1019249,766800,382967,0,62411,3184550,946283,337775,292347,112402,231689,8615207,0,NA,0,76798982,70598442,11409950,195225515,49848
139959,"University of Georgia",0,0,27742559,4541000,143299554,11636034,25499248,31857,5172890,6693151,2766895,8390754,2811283,473736,776145,10087173,16165617,0,2392587,154354,3794012,10594717,2261824,30742928,1313718,317342036,148692303,55458690,460871801,15708
142115,"Boise State University",0,0,9793940,780350,49758472,8644095,8097867,0,969224,3461494,890625,1247425,482644,301492,203759,4827983,2889300,3409699,884132,595994,662877,800468,673397,841011,141707,100357955,27628700,32141995,34974133,32047
145637,"University of Illinois Urbana-Champaign",0,0,20507183,2521174,120168951,13213336,23313644,1072768,2271459,6389568,2932275,2663812,5683232,861150,347671,20012874,8682088,0,1123385,219633,2124971,6228728,0,NA,0,240337902,244217549,155585678,605523078,24662
147703,"Northern Illinois University",0,0,4531480,354000,26483239,7016910,2845054,0,282049,2401161,926874,1116039,780248,148352,43647,973700,1403114,743454,672836,298788,89613,880177,852165,1574149,123578,54540627,51108815,0,20157069,19199
150136,"Ball State University",0,0,5955114,823000,27911602,8145663,4137608,0,419728,1780675,1136651,844225,253959,118323,56866,0,98947,1520496,324939,276575,228949,1789884,0,NA,0,55823204,82667515,7153385,13734574,19392
151351,"Indiana University-Bloomington",0,0,20362015,4628094,114822135,16378764,21931493,229540,2510430,6650775,2224304,4614137,2651576,0,277562,8850783,12303146,2954505,1808355,154697,1622954,4669005,0,13010493,0,242654763,203353559,81787339,124886300,23670
153603,"Iowa State University",0,0,17339979,1255639,95315376,9518283,13808662,0,1883866,5766682,3403550,3073649,2918557,0,561485,6519374,14455845,0,943486,3248427,2679203,5629881,2026733,96508,282075,190727260,147102705,59650711,200827634,17264
153658,"University of Iowa",541000,0,24831882,3195794,146282275,13682144,21001526,0,2123546,8195173,2790281,5257268,5290609,386183,455591,31008015,10306279,0,1584761,223731,4379601,7698938,2232944,5693751,1097009,298258301,114490000,101565000,409098000,29166
155317,"University of Kansas",0,0,18134289,1536104,108881800,12976229,23895087,4602509,2310278,7234855,4870553,3957297,3786549,0,93633,7547588,7877524,0,929729,341282,3106263,5682031,0,12671507,0,230435107,32518282,57941219,320433418,18218
155399,"Kansas State University",0,0,16475868,2112722,83079244,8693795,15579373,3780043,1881111,6164903,2180407,3068393,2707916,0,180456,5222245,4948906,0,1032284,3962733,1798139,3265297,24653,6840578,0,172999066,50420423,0,212973215,34794
