"UNITID","school_name","coach_comp_third_2021","support_comp_third_2021","coach_comp_2021","guarantees_2021","total_ops_2021","aid_2021","support_comp_2021","severance_2021","recruiting_2021","teamtravel_2021","equip_2021","game_expenses_2021","marketing_2021","camps_2021","spirit_2021","facilities_rentals_2021","overhead_2021","indirect_institutional_2021","medical_2021","memberships_2021","meals_2021","otherops_2021","bowl_expense_2021","prof_def_2021","bowl_coachcomp_2021","total_expendature","discounts_to_tuition","gifts","reseach_expendatures","graduation_rate"
209551,"University of Oregon",155500,32950,23965631,250495,101243145,14527932,18515018,0,656777,4107087,3765819,1221897,380553,10156,200357,18098517,8094848,0,2287765,35794,1500486,2482220,953343,16278672,0,218764962,96675215,127289351,99176891,47453
214777,"Pennsylvania State University-Main Campus",0,0,32123782,92000,130050505,21290346,26302871,427930,836322,5326206,3247919,2357060,376009,0,42026,13790982,10562470,0,1624985,75452,1832468,9651993,89684,NA,0,260101010,NA,NA,NA,19877
217882,"Clemson University",0,0,25174327,607900,117413403,18172287,26617229,40786,297097,5354363,3351891,3967606,3040613,441336,59614,9458601,5864560,0,1139375,34621,2695762,8619167,889091,5719401,1587177,240546207,117285327,152411325,224080901,40892
218663,"University of South Carolina-Columbia",3078750,400312,21295848,116536,130364709,15893819,24952707,15225663,372977,4840281,3584383,6038750,616318,99824,154549,13496384,11254866,0,3731914,116867,961386,4132575,0,4792677,0,265522095,271806660,29685708,152871063,23055
218724,"Coastal Carolina University",0,0,8115869,290086,36086347,9267682,4037673,0,323782,2059764,795004,1178732,13082,0,177607,2726924,1639711,4027684,183777,127096,309709,277097,380068,658821,155000,72831515,48401050,2675080,1294153,20017
220862,"University of Memphis",0,0,11105677,374305,47141329,9044840,6598819,1764620,211497,2934976,2321771,406097,373190,0,146266,2363368,866214,2574527,1224399,18278,969647,3303090,298864,292300,240884,94574958,77980610,21745458,69331040,38470
220978,"Middle Tennessee State University",0,0,6296779,50607,31190904,8650479,4115828,0,111269,2493143,768993,543540,325998,0,10833,1280777,798834,1854509,1587285,55106,221894,2025030,0,0,0,62381808,67663382,3994547,10195113,38893
221759,"The University of Tennessee-Knoxville",0,0,24646787,265775,132163159,15791445,26659422,5392353,476191,5471090,3367460,3399944,3986877,57453,101703,10797923,10819957,0,3960136,42283,3888234,13038126,0,757598,0,265083916,174150193,14468874,278666249,12465
225511,"University of Houston",0,0,15165728,632554,67196088,9015573,11822150,0,201252,2810577,1597781,1207102,396246,81514,0,6255105,10958378,0,4065926,27884,2208029,414825,279638,NA,55826,134392176,163095484,51598292,208371496,31362
227216,"University of North Texas",0,0,8068788,476550,43975838,6435293,6951167,0,125557,1959175,1154953,1230171,424451,0,1e+05,8878768,5171066,1450878,415847,350666,366034,109599,182465,2723279,124410,90674955,128260331,16879648,86433203,27851
228459,"Texas State University",0,0,5605761,20343,34363246,6550905,4913577,0,193369,2386115,813862,1061301,380681,0,103698,5631605,4185413,411560,796550,105670,633607,569229,0,508195,0,69234687,119664877,8954133,71549808,25026
228723,"Texas A & M University-College Station",0,0,31470601,705260,141824256,12403372,24195763,1462482,1008816,7107357,3002198,3023669,223936,1647626,5847,21483682,14455965,0,1159128,222475,2546484,14390705,1308890,20046072,0,303694584,203105786,123602640,952518954,30280
228778,"The University of Texas at Austin",0,0,43105708,1830000,160532668,12487589,31853401,6377823,1266974,7549941,2886384,8437641,3842128,88656,202239,9813291,17122323,0,5306635,344966,3341181,4624827,50961,NA,0,321065336,192479493,214378244,681788702,16963
228796,"The University of Texas at El Paso",57789,30169,5910055,310462,27416563,6870670,3984358,157350,158697,2351568,751987,837034,570202,53768,0,784883,1104826,1408360,966852,324184,487535,295814,0,3007294,0,57840420,55242741,9703996,104823012,18384
229027,"The University of Texas at San Antonio",0,0,6370514,507278,29521154,6655576,4784151,934628,143858,1931319,832650,1416545,330144,18340,41644,219135,1622044,478913,1369683,407907,156792,923238,253580,840660,123215,59882968,112875355,78967784,131990673,17313
229115,"Texas Tech University",0,0,18409289,1085414,83873438,7946899,17892330,2833564,1349849,5153480,1915445,3453316,1689282,0,0,8353379,6870283,0,2934904,105106,846894,3034004,0,4985970,0,172732846,121055562,43235650,205204886,27401
230728,"Utah State University",468750,0,8761227,48608,36047203,6792199,4848674,593215,114898,1835047,1182287,507399,249853,0,0,4176346,633137,2075056,788568,434624,501105,2036210,0,794212,0,72888618,91341266,29020225,255388123,24296
230764,"University of Utah",0,0,19762762,222009,82056884,12246298,17079755,1714565,302545,3606631,3355712,1264275,289541,18493,177234,8259768,1183124,1818533,2129204,119934,656285,7825190,25026,NA,0,164113768,102130000,56315000,392505000,31721
232982,"Old Dominion University",0,0,7670676,46166,38234460,9355097,6368495,465379,121071,1118441,1501463,480694,315257,0,33854,6382103,1640381,0,384224,364008,164239,1822912,0,3238244,0,79707164,43886408,16910986,12478970,27230
233921,"Virginia Polytechnic Institute and State University",0,0,18736861,721383,85587390,14548902,16553611,363584,232684,2636163,2962201,1575029,1053609,25,260883,6710858,5822186,5447267,1842919,71076,2141000,3834890,72259,4709232,0,175884012,133329786,69050025,381019551,25234
234076,"University of Virginia-Main Campus",0,0,26356586,574500,101172838,21669427,18746336,450883,281864,5124955,2215078,2045790,55191,0,11949,1487144,11898517,0,3484846,2415380,2058163,2296229,0,4173590,0,206519266,160821659,195548662,499557078,42460
236939,"Washington State University",0,0,13195423,374613,65002028,11424943,12367812,1440695,230390,2703706,1802288,739896,1214236,18197,80606,9965854,1870427,307091,1055790,2684084,831060,2694917,0,NA,0,130004056,159123014,43875066,233998986,44959
236948,"University of Washington-Seattle Campus",0,0,21710317,320000,86150595,15582048,19700277,1113494,406804,4248886,5610321,1579144,502314,21477,131276,6070,3943700,0,1886317,103199,2204262,7080689,0,NA,0,172301190,230926603,214620172,938908939,28633
237525,"Marshall University",0,0,5869383,575000,30372584,7448079,4772117,700370,279059,2107391,1048227,691838,423244,534,84870,1150012,928203,960731,1165777,345898,35149,1296050,331729,27979,158923,60773147,40872186,1159913,18672104,41578
238032,"West Virginia University",0,0,16744382,711238,64814692,10527541,14063975,457865,287359,4118209,1709459,1764898,212890,144541,84280,575663,8256821,0,1818783,40744,2108014,595420,375110,8167314,217500,137796698,90991435,77898517,148848114,11464
240444,"University of Wisconsin-Madison",0,0,20850800,261500,127088011,18021191,27050259,29000,147228,4566780,2601796,928174,1896922,11793,5514,8640609,31373184,2339056,3272096,137641,2385095,1975508,418365,NA,175500,254176022,171117021,385516079,1140675770,10380
240727,"University of Wyoming",0,0,8791393,271000,40117057,7362344,9289744,0,268017,2055748,942846,506033,4579212,0,52336,70618,1546932,519737,1099332,423461,1184445,1153859,0,2370755,0,82604869,45801000,26424000,106955000,46428
243780,"Purdue University-Main Campus",184383,63843,18432096,175179,82282743,12128064,16982597,141191,296506,3335809,1744883,1429095,417261,0,47104,13036513,7197897,0,1257190,119669,2390140,2903323,0,NA,0,164565486,89571770,125016789,336384043,24862
