"UNITID","school_name","coach_comp_third_2021","support_comp_third_2021","coach_comp_2021","guarantees_2021","total_ops_2021","aid_2021","support_comp_2021","severance_2021","recruiting_2021","teamtravel_2021","equip_2021","game_expenses_2021","marketing_2021","camps_2021","spirit_2021","facilities_rentals_2021","overhead_2021","indirect_institutional_2021","medical_2021","memberships_2021","meals_2021","otherops_2021","bowl_expense_2021","prof_def_2021","bowl_coachcomp_2021"
145637,"University of Illinois Urbana-Champaign","$0","$0","$22,159,720","$242,511","$102,006,085","$11,689,978","$22,584,732","$2,034,337","$679,690","$4,327,036","$2,952,027","$1,317,180","$837,882","$49,286","$273,426","$16,646,361","$10,501,212","$0","$866,379","$219,354","$2,830,158","$1,794,816","$0","($3,194,442)","$0"
151351,"Indiana University-Bloomington","$0","$0","$22,912,068","$793,275","$102,582,541","$17,518,837","$20,154,894","$2,047,835","$169,761","$4,985,663","$3,408,443","$2,329,261","$297,351","$0","$87,333","$11,406,857","$5,340,052","$2,282,065","$1,992,305","$147,302","$1,689,919","$3,444,373","$1,124,947","($24,498,684)","$450,000"
153658,"University of Iowa","$541,000","$0","$26,380,102","$405,944","$116,755,350","$13,341,165","$17,458,370","$1,264,119","$87,425","$5,210,109","$2,402,349","$1,478,702","$2,577,166","$70,548","$439,182","$24,493,208","$8,826,273","$0","$1,744,497","$160,949","$3,895,963","$5,861,641","$116,638","($41,965,518)","$0"
153603,"Iowa State University","$0","$0","$17,245,476","$522,041","$89,008,720","$9,630,306","$13,761,010","$8,781,558","$457,899","$3,976,043","$3,180,438","$1,360,277","$906,081","$0","$382,314","$10,457,557","$8,181,652","$0","$1,920,069","$926,344","$2,191,148","$3,736,981","$1,097,026","($16,962,620)","$294,500"
155317,"University of Kansas","$0","$0","$21,875,888","$471,415","$94,140,743","$13,302,180","$23,875,145","$4,673,921","$395,972","$4,147,176","$4,407,572","$1,479,896","$1,269,737","$0","$52,721","$3,632,295","$11,469,001","$0","$1,035,659","$274,075","$1,453,986","$324,104","$0","($1,815,108)","$0"
155399,"Kansas State University","$0","$0","$14,280,438","$1,290,730","$87,729,711","$7,721,313","$16,779,127","$257,653","$524,634","$3,842,086","$2,471,787","$2,640,018","$1,326,479","$0","$43,756","$22,219,127","$4,981,679","$0","$1,346,334","$3,411,121","$1,997,462","$2,595,967","$0","($20,127,685)","$0"
203517,"Kent State University at Kent","$0","$0","$6,607,103","$43,000","$21,870,072","$6,252,387","$4,240,803","$0","$87,450","$1,212,860","$1,047,659","$272,010","$143,992","$12,526","$66,014","$356,231","$0","$0","$344,154","$227,281","$0","$956,602","$0","($2,218,450)","$0"
157085,"University of Kentucky","$0","$0","$29,857,355","$274,069","$120,938,509","$14,570,437","$22,367,562","$938,927","$362,141","$7,749,422","$2,928,448","$3,418,198","$524,866","$375,214","$780,277","$9,530,336","$19,214,223","$0","$1,092,879","$59,780","$1,479,822","$4,392,239","$894,409","$539,018","$127,905"
159647,"Louisiana Tech University","$0","$0","$5,393,946","$451,164","$23,133,588","$5,803,748","$2,522,833","$10,356","$55,033","$1,349,128","$1,603,229","$750,407","$86,165","$0","$0","$606,265","$510,373","#N/A","$616,191","$324,054","$421,436","$652,949","$107,010","($405,699)","$105,000"
160658,"University of Louisiana at Lafayette","$0","$0","$8,252,429","$46,542","$34,129,724","$7,375,509","$5,836,011","$254,238","$56,655","$2,019,759","$1,396,665","$1,405,243","$187,203","$0","$88,406","$2,356,665","$1,092,607","$66,639","$1,077,014","$100,776","$934,859","$1,159,346","$294,370","($862,391)","$128,788"
159993,"University of Louisiana at Monroe","$0","$0","$4,605,209","$176,920","$18,140,898","$4,768,672","$2,268,710","$175,000","$19,353","$1,244,489","$858,156","$914,873","$181,674","$0","$0","$975,112","$249,592","$0","$902,836","$213,165","$293,094","$294,043","$0","($1,320,345)","$0"
